no_diacritics,with_diacritics
"Sao phim truyen hinh chuoc ruou, cuong hiep dan em!.","Sao phim truyền hình chuốc rượu, cưỡng hiếp đàn em!."
Than dong Rashford khong duoc phep thay do cung dan anh tai M.U.,Thần đồng Rashford không được phép thay đồ cùng đàn anh tại M.U.
"Xac dinh trong tam sua doi, bo sung Luat Luat su.","Xác định trọng tâm sửa đổi, bổ sung Luật Luật sư."
Co suc xay chua nho khoi benh khop.,Có sức xây chùa nhờ khỏi bệnh khớp.
"Cong an dang kham nghiem hien truong, lam ro nguyen nhan vu viec"", vi lanh dao dia phuong thong tin.","Công an đang khám nghiệm hiện trường, làm rõ nguyên nhân vụ việc"", vị lãnh đạo địa phương thông tin."
Viet Nam noi chuyen Bien Dong voi Campuchia.,Việt Nam nói chuyện Biển Đông với Campuchia.
Cam on Kep!.,Cảm ơn Kep!.
Han-Trung-Nhat se ra tuyen bo chung ve van de hat nhan Trieu Tien.,Hàn-Trung-Nhật sẽ ra tuyên bố chung về vấn đề hạt nhân Triều Tiên.
HCV Pencak Silat Viet Nam: 'Thang thuyet phuc de trong tai muon cung khong ep duoc'.,HCV Pencak Silat Việt Nam: 'Thắng thuyết phục để trọng tài muốn cũng không ép được'.
"Ben Tre: Chay nha thieu rui tai san, chu nhan trang tay.","Bến Tre: Cháy nhà thiêu rụi tài sản, chủ nhân trắng tay."
"Cu the, voi cac loai xang o muc 950 dong/lit va dau diesel o muc 550 dong/lit, dau hoa 800 dong/lit, dau mazut 950 dong/kg.","Cụ thể, với các loại xăng ở mức 950 đồng/lít và dầu diesel ở mức 550 đồng/lít, dầu hỏa 800 đồng/lít, dầu mazut 950 đồng/kg."
Cac nha may loc dau cung ngan ngai dau tu de tang cong suat.,Các nhà máy lọc dầu cũng ngần ngại đầu tư để tăng công suất.
Yeu cau giam dinh tam than ba me ep con uong thuoc sau.,Yêu cầu giám định tâm thần bà mẹ ép con uống thuốc sâu.
Kham pha hon da Sa Pa.,Khám phá hồn đá Sa Pa.
Thoi gian mua tap trung chu yeu vao chieu toi va dem.,Thời gian mưa tập trung chủ yếu vào chiều tối và đêm.
"Cac thong tin khac nhu man hinh, camera hay gia ban van chua duoc tiet lo.","Các thông tin khác như màn hình, camera hay giá bán vẫn chưa được tiết lộ."
Gai mai dam Gia Xuyen tu nhien hon dan ban xu.,Gái mại dâm Gia Xuyên tự nhiên hơn dân bản xứ.
Hoa Binh: Phat hien tiep dau mon loi di co 21 ngan nam.,Hòa Bình: Phát hiện tiếp dấu mòn lối đi cổ 21 ngàn năm.
"""Mo xe"" cac van de bao mat di dong nam 2015.","""Mổ xẻ"" các vấn đề bảo mật di động năm 2015."
Ra mat cong nghe mo phong ket qua nang nguc chinh xac nhat hien nay.,Ra mắt công nghệ mô phỏng kết quả nâng ngực chính xác nhất hiện nay.
San phu dao Ly Son vuot gio giat cap 7 vao dat lien vuot can.,Sản phụ đảo Lý Sơn vượt gió giật cấp 7 vào đất liền vượt cạn.
Bat 15 ten moc tui trong dem Noel.,Bắt 15 tên móc túi trong đêm Noel.
"Se cap the hanh nghe cho ca si, nguoi mau vao thang 4/2014.","Sẽ cấp thẻ hành nghề cho ca sĩ, người mẫu vào tháng 4/2014."
phat hien minh bi lua nen de nghi cham dut hop dong va yeu cau Nha chuyen tra 114 trieu.,phát hiện mình bị lừa nên đề nghị chấm dứt hợp đồng và yêu cầu Nhã chuyển trả 114 triệu.
Nguoi dung di dong toan cau van khong man ma voi 4G.,Người dùng di động toàn cầu vẫn không mặn mà với 4G.
Noi nong noi nguoi.,Nơi nóng nơi nguội.
Dung vay ca nhu the nao tot cho suc khoe?,Dùng vảy cá như thế nào tốt cho sức khỏe?
Quyen duoc nghi.,Quyền được nghỉ.
Becks & dan VIP du khan CK Wimbledon.,Becks & dàn VIP dự khán CK Wimbledon.
Chuan bi cho tre khi lan dau tien di hoc.,Chuẩn bị cho trẻ khi lần đầu tiên đi học.
"Tuy nhien, den toi ngay 13.11.2020, lan luot 28 doi tuong deu duoc tha cho ve nha.","Tuy nhiên, đến tối ngày 13.11.2020, lần lượt 28 đối tượng đều được thả cho về nhà."
On dinh an ninh trat tu de phat trien.,Ổn định an ninh trật tự để phát triển.
Hy Lap se uu tien thanh toan cac khoan vay cuu tro cua IMF.,Hy Lạp sẽ ưu tiên thanh toán các khoản vay cứu trợ của IMF.
Goc Man Utd: Lay gi de chieu mo Ibrahimovic.,Góc Man Utd: Lấy gì để chiêu mộ Ibrahimovic.
Dung bua dap dau em dau vi mau thuan no nan.,Dùng búa đập đầu em dâu vì mâu thuẫn nợ nần.
HLV Emery phai chong lai 'bang nhom' Brazil tai PSG.,HLV Emery phải chống lại 'băng nhóm' Brazil tại PSG.
Ba luu y khi mang laptop di du lich.,Ba lưu ý khi mang laptop đi du lịch.
Diem lai thi truong nong san tuan qua.,Điểm lại thị trường nông sản tuần qua.
Con mai tinh than Nelson Mandela.,Còn mãi tinh thần Nelson Mandela.
Chelsea khong mua them cau thu.,Chelsea không mua thêm cầu thủ.
‏ ‏Duoi day la 7 meo giup co the luon toa huong trong mua he nay.‏ ‏1.,‏ ‏Dưới đây là 7 mẹo giúp cơ thể luôn tỏa hương trong mùa hè này.‏ ‏1.
"Kinh te, tai chinh 24h: Moody s, S&P; va Fitch lam mua lam gio tai chau Au.","Kinh tế, tài chính 24h: Moody s, S&P; và Fitch làm mưa làm gió tại châu Âu."
Vinmec Nha Trang hoi tu he thong trang thiet bi hien dai.,Vinmec Nha Trang hội tụ hệ thống trang thiết bị hiện đại.
"Voi Cong ty CP Dream Republic, so tien tra vao tai khoan cua co quan thue la 115 ti dong (la so tien trich tu tai khoan cua trung tam dau gia chuyen sang) va so tien trich tu tai khoan cua cong ty la 820.000 dong.","Với Công ty CP Dream Republic, số tiền trả vào tài khoản của cơ quan thuế là 115 tỉ đồng (là số tiền trích từ tài khoản của trung tâm đấu giá chuyển sang) và số tiền trích từ tài khoản của công ty là 820.000 đồng."
"Chi 7,6 ty USD cho du an du bao bao My.","Chi 7,6 tỷ USD cho dự án dự báo bão Mỹ."
Thi sinh Nhan Dan.,Thí sinh Nhân Dân.
2NE1 khien nguoi ham mo chen lan den bat khoc.,2NE1 khiến người hâm mộ chen lấn đến bật khóc.
Nen them nghe vao mon an de ngua nhieu benh.,Nên thêm nghệ vào món ăn để ngừa nhiều bệnh.
"Chu toa phien toa thong bao, tam nghi phien xet xu buoi sang.","Chủ toạ phiên toà thông báo, tạm nghỉ phiên xét xử buổi sáng."
Toi co day som de ngoi ban cong thi ho cung hut thuoc tu som.,Tôi cố dậy sớm để ngồi ban công thì họ cũng hút thuốc từ sớm.
Kagawa quyet tim lai cho dung o M.U.,Kagawa quyết tìm lại chỗ đứng ở M.U.
Quang Ninh: Bat giu gan 1000 chai ruou Chivas 18 nhap lau.,Quảng Ninh: Bắt giữ gần 1000 chai rượu Chivas 18 nhập lậu.
[Photo] Ngam nhin nhung nu canh sat xinh dep cua cac quoc gia.,[Photo] Ngắm nhìn những nữ cảnh sát xinh đẹp của các quốc gia.
Nhieu smartphone Lumia dong loat giam gia ca trieu dong.,Nhiều smartphone Lumia đồng loạt giảm giá cả triệu đồng.
Bo Dao Nha 2-1 Ghana: Qua muon cho Ronaldo.,Bồ Đào Nha 2-1 Ghana: Quá muộn cho Ronaldo.
Thu hut dau tu sau 6 ky Dien dan MDEC: Con khiem ton.,Thu hút đầu tư sau 6 kỳ Diễn đàn MDEC: Còn khiêm tốn.
Anh 1-1 Ukraine: 'Tam su' thoat thua hu via ngay tai Wembley.,Anh 1-1 Ukraine: 'Tam sư' thoát thua hú vía ngay tại Wembley.
Gia dinh Brangelina tat bat cho le Halloween.,Gia đình Brangelina tất bật cho lễ Halloween.
"Ve xe tet nam 2015 tai TP.HCM: Mua bao nhieu, co bay nhieu.","Vé xe tết năm 2015 tại TP.HCM: Mua bao nhiêu, có bấy nhiêu."
"Dang chu y, Julia Fox sap tham gia mot bo phim ma Madonna dam nhiem vai tro dao dien.","Đáng chú ý, Julia Fox sắp tham gia một bộ phim mà Madonna đảm nhiệm vai trò đạo diễn."
Thoi su trong ngay: Dieu dac biet trong Le dieu binh.,Thời sự trong ngày: Điều đặc biệt trong Lễ diễu binh.
"Theo thong ke cua Savills Viet Nam, gia nha tai thi truong Ha Noi dang lien tuc keo dai da tang truong.","Theo thống kê của Savills Việt Nam, giá nhà tại thị trường Hà Nội đang liên tục kéo dài đà tăng trưởng."
Khong chi Sat thu.,Không chỉ Sát thủ.
"Toi nghi, moi nguoi deu co mot so menh va do la dieu da duoc cai dat san tu luc sinh ra.","Tôi nghĩ, mỗi người đều có một số mệnh và đó là điều đã được cài đặt sẵn từ lúc sinh ra."
Dan My kho khan do cat giam chi tieu cong.,Dân Mỹ khó khăn do cắt giảm chi tiêu công.
Chum anh doc: Sir Alex Ferguson - 25 nam nhin lai (P4).,Chùm ảnh độc: Sir Alex Ferguson - 25 năm nhìn lại (P4).
Nguoi hung Demba Ba.,Người hùng Demba Ba.
Giai thuong Cong hien khoi dong.,Giải thưởng Cống hiến khởi động.
"Cu the truoc U23 Malaysia, U23 Viet Nam cam bong len den 77%. Day la thong so cao nhat thuoc ty le kiem soat bong tai VCK U23 chau A 2022.","Cụ thể trước U23 Malaysia, U23 Việt Nam cầm bóng lên đến 77%. Đây là thông số cao nhất thuộc tỷ lệ kiểm soát bóng tại VCK U23 châu Á 2022."
"Ly do tuong tu la cham nop bao cao tai chinh nam 2021 duoc kiem toan, qua 45 ngay ke tu ngay ket thuc nien do.","Lý do tương tự là chậm nộp báo cáo tài chính năm 2021 được kiểm toán, quá 45 ngày kể từ ngày kết thúc niên độ."
Say dam nu cuoi ngot ngao toa nang cua Nu hoang Doanh nhan Ngo Thi Kim Chi.,Say đắm nụ cười ngọt ngào tỏa nắng của Nữ hoàng Doanh nhân Ngô Thị Kim Chi.
Mat troi lan o huong dong.,Mặt trời lặn ở hướng đông.
Dieu tra ke dung kim tiem co mau tran lot tien tren xe khach.,Điều tra kẻ dùng kim tiêm có máu trấn lột tiền trên xe khách.
Nho thuong mua bao.,Nhớ thương mùa bão.
"Tho Nhi Ky: No co so san xuat phao hoa, 20 nguoi chet.","Thổ Nhĩ Kỳ: Nổ cơ sở sản xuất pháo hoa, 20 người chết."
"Hien, co quan chuc nang da vao cuoc de ho tro cac gia dinh.","Hiện, cơ quan chức năng đã vào cuộc để hỗ trợ các gia đình."
"Chia se clip nu sinh bi danh hoi dong, thieu nien 16 tuoi bi 'tra thu'.","Chia sẻ clip nữ sinh bị đánh hội đồng, thiếu niên 16 tuổi bị 'trả thù'."
Bi kich chuyen bo chong ruot chem nang dau phai nhap vien.,Bi kịch chuyện bố chồng rượt chém nàng dâu phải nhập viện.
Phat hien vu van chuyen hang hoa trai phep voi so luong lon.,Phát hiện vụ vận chuyển hàng hóa trái phép với số lượng lớn.
500 nam lich su New York chi trong 47 giay.,500 năm lịch sử New York chỉ trong 47 giây.
"Bat ke ban ban nhau, co 4 khau sung.","Bắt kẻ bắn bạn nhậu, có 4 khẩu súng."
Nhung diem khong the bo qua khi den Manila.,Những điểm không thể bỏ qua khi đến Manila.
Soi nha my nam Viet chuong mot khoe than.,Soi nhà mỹ nam Việt chuộng mốt khoe thân.
(Tin van bong da sang 28/2).,(Tin vắn bóng đá sáng 28/2).
5 sieu moto manh nhat the gioi nam 2015.,5 siêu môtô mạnh nhất thế giới năm 2015.
Buon vui chuyen sinh con nam rong cua nguoi Trung Quoc.,Buồn vui chuyện sinh con năm rồng của người Trung Quốc.
Ha Tinh phan dau den 2013 hoan thanh xay dung nong thon moi o cac xa diem.,Hà Tĩnh phấn đấu đến 2013 hoàn thành xây dựng nông thôn mới ở các xã điểm.
Mua sao bang vao sang 18-11.,Mưa sao băng vào sáng 18-11.
3 cach phan chia ly tuong cho phong khach va phong an 24m2.,3 cách phân chia lý tưởng cho phòng khách và phòng ăn 24m2.
Nu cau thu mac bikini ra san.,Nữ cầu thủ mặc bikini ra sân.
Xem tu vi thu Sau ngay 08/4/2016 cho 12 con giap.,Xem tử vi thứ Sáu ngày 08/4/2016 cho 12 con giáp.
"Nam 2009, VTV4 tiep tuc mo rong tam phu song.","Năm 2009, VTV4 tiếp tục mở rộng tầm phủ sóng."
Nga ngua khi biet GPLX cua minh la gia.,Ngã ngửa khi biết GPLX của mình là giả.
"De co the giup ban co duoc cach nau lau ga la giang ngon nhat, hay chu y mot so dieu sau day: - Vo nat la giang truoc khi cho vao noi nau.","Để có thể giúp bạn có được cách nấu lẩu gà lá giang ngon nhất, hãy chú ý một số điều sau đây: - Vò nát lá giang trước khi cho vào nồi nấu."
"Piaggio Liberty ABS nhieu mau sac tre trung, gia hap dan.","Piaggio Liberty ABS nhiều màu sắc trẻ trung, giá hấp dẫn."
+ Hat giong duoc rac len lop tro nay va ben tren lop hat se lai duoc phu mot lop tro trau day tam 1cm.,+ Hạt giống được rắc lên lớp tro này và bên trên lớp hạt sẽ lại được phủ một lớp tro trấu dày tầm 1cm.
Son Tung M-TP chinh thuc rut lui khoi san choi The Remix.,Sơn Tùng M-TP chính thức rút lui khỏi sân chơi The Remix.
"Sau do, cac canh sat nhanh chong cat vu khi ngung lai viec luc soat.","Sau đó, các cảnh sát nhanh chóng cất vũ khí ngừng lại việc lục soát."
Kinh nghiem... dao duong!.,Kinh nghiệm... đào đường!.
"Noi ve van de nay, ba Nhung cho biet: ""Do la vu tai nan, ong ay dam chet nguoi roi thue nguoi di tu thay.","Nói về vấn đề này, bà Nhung cho biết: ""Đó là vụ tai nạn, ông ấy đâm chết người rồi thuê người đi tù thay."
Ly coktail cho dem Halloween.,Ly coktail cho đêm Halloween.
Mourinho tra thu Dortmund vu Lewandowski.,Mourinho trả thù Dortmund vụ Lewandowski.
Thuy Lien va sen.,Thùy Liên và sen.
"Gia vang SJC tai thi truong Ha Noi duoc Cong ty Vang bac da quy Sai Gon niem yet o muc 68,2 - 68,82 trieu dong/luong (mua vao - ban ra), khong doi so voi chot phien cuoi tuan qua.","Giá vàng SJC tại thị trường Hà Nội được Công ty Vàng bạc đá quý Sài Gòn niêm yết ở mức 68,2 - 68,82 triệu đồng/lượng (mua vào - bán ra), không đổi so với chốt phiên cuối tuần qua."
Trang diem nhanh khi du tiec toi.,Trang điểm nhanh khi dự tiệc tối.
Bo truong tham va chuc Tet truong DH Cong nghiep Ha Noi.,Bộ trưởng thăm và chúc Tết trường ĐH Công nghiệp Hà Nội.
Ky luc the gioi - qua sinh nhat cua Usain Bolt.,Kỷ lục thế giới - quà sinh nhật của Usain Bolt.
"Song Cong, Thai Nguyen.","Sông Công, Thái Nguyên."
Trao chung nhan dau tu cho 27 du an voi tong von hon 35.000 ty dong..,Trao chứng nhận đầu tư cho 27 dự án với tổng vốn hơn 35.000 tỷ đồng..
Trien lam - Giao thuong san pham Han Quoc tai Viet Nam: Nhieu co hoi he mo.,Triển lãm - Giao thương sản phẩm Hàn Quốc tại Việt Nam: Nhiều cơ hội hé mở.
"Tiet lo con giap van do nhu son, tien bac rung rinh nhat thang 1/2018.","Tiết lộ con giáp vận đỏ như son, tiền bạc rủng rỉnh nhất tháng 1/2018."
- Chuan bi 1 it hanh phi de nuoc lau chao thom ngon hap dan hon.,- Chuẩn bị 1 ít hành phi để nước lẩu cháo thơm ngon hấp dẫn hơn.
"Luy ke 6 thang dau nam, doanh nghiep dat tong doanh thu hon 18.210 ty dong.","Lũy kế 6 tháng đầu năm, doanh nghiệp đạt tổng doanh thu hơn 18.210 tỷ đồng."
Cong Tri ngoi ghe nong Project Runway Vietnam.,Công Trí ngồi ghế nóng Project Runway Vietnam.
Ban giao thiet bi dieu khien camera quan sat cho Canh sat PCCC.,Bàn giao thiết bị điều khiển camera quan sát cho Cảnh sát PCCC.
Cau chuyen ve bien Dong.,Câu chuyện về biển Đông.
"Neu duoc xac nhan, day se la khoan phat lon nhat cua chinh quyen Trung Quoc doi voi mot cong ty cong nghe trong nam qua.","Nếu được xác nhận, đây sẽ là khoản phạt lớn nhất của chính quyền Trung Quốc đối với một công ty công nghệ trong năm qua."
Dai tuong Vo Nguyen Giap qua cac tac pham nghe thuat.,Đại tướng Võ Nguyên Giáp qua các tác phẩm nghệ thuật.
San pham bi an cua Microsoft xuat hien tren Internet.,Sản phẩm bí ẩn của Microsoft xuất hiện trên Internet.
"Khong trong cay, hoa co doc trong truong hoc.","Không trồng cây, hoa có độc trong trường học."
"Xe may chay tat dau, xe ben lat giua duong.","Xe máy chạy tạt đầu, xe ben lật giữa đường."
"Yoon Ji-hye, sinh vien dai hoc o Seoul, khong thay ""can phai dau tu nhieu thoi gian"" de hen ho voi mau nguoi khong phu hop.","Yoon Ji-hye, sinh viên đại học ở Seoul, không thấy ""cần phải đầu tư nhiều thời gian"" để hẹn hò với mẫu người không phù hợp."
Giai dap thac mac ve kho dich khop.,Giải đáp thắc mắc về khô dịch khớp.
Nhung nguoi co the di bo 50 m voi toc do binh thuong hoac leo cau thang khong bi kho tho se chiu duoc moi truong khong khi khi di may bay.,Những người có thể đi bộ 50 m với tốc độ bình thường hoặc leo cầu thang không bị khó thở sẽ chịu được môi trường không khí khi đi máy bay.
"Khi Ho Bich Tram mo spa kinh doanh, gia dinh va dac biet la chong ban da phan ung the nao?","Khi Hồ Bích Trâm mở spa kinh doanh, gia đình và đặc biệt là chồng bạn đã phản ứng thế nào?"
HAX: Ke toan truong ban toan bo co phieu tu 29/10.,HAX: Kế toán trưởng bán toàn bộ cổ phiếu từ 29/10.
"Va nam 1288 Hung Dao vuong Tran Quoc Tuan da lan thu ba su dung ke hiem nay danh bai chien thuyen cua quan Nguyen, cham dut mong xam lang nuoc Dai Viet cua doi quan hung hau nhat the gioi thoi bay gio.","Và năm 1288 Hưng Đạo vương Trần Quốc Tuấn đã lần thứ ba sử dụng kế hiểm này đánh bại chiến thuyền của quân Nguyên, chấm dứt mộng xâm lăng nước Đại Việt của đội quân hùng hậu nhất thế giới thời bây giờ."
Lieu Ninh - Tau san bay khong may bay cua Trung Quoc.,Liêu Ninh - Tàu sân bay không máy bay của Trung Quốc.
"Lai xe khi su dung dien thoai, nguy hiem kho luong?.","Lái xe khi sử dụng điện thoại, nguy hiểm khó lường?."
Bang ghi diem thi tuyen sinh vao lop 10 nam hoc 2022-2023 duoc niem yet tai bang tin nha truong va dang tai tren cong thong tin dien tu/trang thong dien tu nha truong.,Bảng ghi điểm thi tuyển sinh vào lớp 10 năm học 2022-2023 được niêm yết tại bảng tin nhà trường và đăng tải trên cổng thông tin điện tử/trang thông điện tử nhà trường.
Nguy co vo bong bong bat dong san cao cap o Anh.,Nguy cơ vỡ bong bóng bất động sản cao cấp ở Anh.
Rau muong xao mam ruoc xanh muot hap dan.,Rau muống xào mắm ruốc xanh mướt hấp dẫn.
Goi thau Quoc lo 1 cham tien do: Thay nha thau va ban quan ly.,Gói thầu Quốc lộ 1 chậm tiến độ: Thay nhà thầu và ban quản lý.
"Trong vai thang, nguoi dan dau ve so gay cua Tour da dat duoc khong phai la Scottie Scheffler hay Jon Rahm hoac Rory McIlroy.","Trong vài tháng, người dẫn đầu về số gậy của Tour đã đạt được không phải là Scottie Scheffler hay Jon Rahm hoặc Rory McIlroy."
Viet ve dao Ly Son.,Viết về đảo Lý Sơn.
10 goi y qua Valentine y nghia ma tiet kiem.,10 gợi ý quà Valentine ý nghĩa mà tiết kiệm.
Bo dien.,Bò điên.
David Beckham khong ngai nhan la cau thu xom.,David Beckham không ngại nhận là cầu thủ xóm.
"""Co nhieu nguoi om ho so chay qua xa khac ky cho nhanh"", ba Thao noi.","""Có nhiều người ôm hồ sơ chạy qua xã khác ký cho nhanh"", bà Thảo nói."
Don nha don Tet - Don Qua khu.,Dọn nhà đón Tết - Dọn Quá khứ.
Ho Ngoc Ha say me tap luyen cung Duc Tri.,Hồ Ngọc Hà say mê tập luyện cùng Đức Trí.
Kiem diem trach nhiem can bo xac nhan ly lich cong dan sai quy dinh.,Kiểm điểm trách nhiệm cán bộ xác nhận lý lịch công dân sai quy định.
Vi sao nhieu hang hang khong ngung bay toi Nga?.,Vì sao nhiều hãng hàng không ngừng bay tới Nga?.
Chinh thuc thu phi duong bo doan Dong Ha Quang Tri.,Chính thức thu phí đường bộ đoạn Đông Hà Quảng Trị.
"Roi may bay, 7 nguoi thiet mang.","Rơi máy bay, 7 người thiệt mạng."
Viec tam nuoc qua lanh se tao ra su chenh lech nhiet do lon giua co the va moi truong.,Việc tắm nước quá lạnh sẽ tạo ra sự chênh lệch nhiệt độ lớn giữa cơ thể và môi trường.
Tieu thu xuong pho cuoi tuan.,Tiểu thư xuống phố cuối tuần.
Nang cao chat luong giao duc mam non can day manh xa hoi hoa.,Nâng cao chất lượng giáo dục mầm non cần đẩy mạnh xã hội hóa.
"Tuy vay, Dembele sau do da ky hop dong moi.","Tuy vậy, Dembele sau đó đã ký hợp đồng mới."
Kho chan nguoi vi pham lam bang lai moi.,Khó chặn người vi phạm làm bằng lái mới.
"Voi ve ngoai dien trai, vo anh da yeu anh Vuong ngay tu cai nhin dau tien va ca hai nhanh chong xac dinh moi quan he yeu duong.","Với vẻ ngoài điển trai, vợ anh đã yêu anh Vương ngay từ cái nhìn đầu tiên và cả hai nhanh chóng xác định mối quan hệ yêu đương."
"Khong nhung vay, tren tam bien hieu trong phim con ghi ro ten ""nuoc sam"" kem theo muc gia la 1.000d/ ly.","Không những vậy, trên tấm biển hiệu trong phim còn ghi rõ tên ""nuoc sam"" kèm theo mức giá là 1.000đ/ ly."
Vy Anh,Vy Anh
Tu su cua Johnny Tri Nguyen.,Tự sự của Johnny Trí Nguyễn.
'Nguoi phu nu dep nhat the gioi' khoe ve dep tu nhien khong phau thuat.,'Người phụ nữ đẹp nhất thế giới' khoe vẻ đẹp tự nhiên không phẫu thuật.
Nam dien vien Hong Kong Ton Vi Luan chia se ve nghi an hen ho Kha Ngan.,Nam diễn viên Hồng Kông Tôn Vĩ Luân chia sẻ về nghi án hẹn hò Khả Ngân.
Eurowindow - Su lua chon toi uu cho ngoi nha cua ban.,Eurowindow - Sự lựa chọn tối ưu cho ngôi nhà của bạn.
Viec cuong che hoa don thue gay lo ngai cho hoat dong cua Khu lien hop cung nhu San van dong Quoc gia My Dinh.,Việc cưỡng chế hoá đơn thuế gây lo ngại cho hoạt động của Khu liên hợp cũng như Sân vận động Quốc gia Mỹ Đình.
TQ: Dap dau vao bon rua toilet may bay tu tu.,TQ: Đập đầu vào bồn rửa toilet máy bay tự tử.
Smartphone gia re danh bai Apple o Trung Quoc.,Smartphone giá rẻ đánh bại Apple ở Trung Quốc.
Giai phau tham my.,Giải phẫu thẩm mỹ.
Bao cao moi truong quoc gia to thuy dien.,Báo cáo môi trường quốc gia tố thủy điện.
"Tren thuc te, loi de nghi cua Chelsea da duoc Sevilla chap nhan.","Trên thực tế, lời đề nghị của Chelsea đã được Sevilla chấp nhận."
"Tuy nhien, Son Tung thuong kin tieng va it khi chia se truc tiep ve cuoc song va cong viec.","Tuy nhiên, Sơn Tùng thường kín tiếng và ít khi chia sẻ trực tiếp về cuộc sống và công việc."
Dai TNVN nhan ky niem chuong Vi su nghiep phat trien cac dan toc Viet Nam.,Đài TNVN nhận kỷ niệm chương Vì sự nghiệp phát triển các dân tộc Việt Nam.
"Toi se tap trung nhieu hon vao cu ly 42km trong tuong lai, boi day la cu ly phu hop khi toi buoc sang tuoi 'bam'. Diem manh cua toi la su ben bi.","Tôi sẽ tập trung nhiều hơn vào cự ly 42km trong tương lai, bởi đây là cự ly phù hợp khi tôi bước sang tuổi 'băm'. Điểm mạnh của tôi là sự bền bỉ."
"(cung la salon lam dep) tren duong NJ15 (phuong My Phuoc, thi xa Ben Cat) de tim.","(cũng là salon làm đẹp) trên đường NJ15 (phường Mỹ Phước, thị xã Bến Cát) để tìm."
"Coutinho hanh phuc o Liverpool, khong toi Barca hoac Real.","Coutinho hạnh phúc ở Liverpool, không tới Barca hoặc Real."
iPhone 6s se co 2GB RAM DDR4?.,iPhone 6s sẽ có 2GB RAM DDR4?.
West Ham United 3-3 Arsenal (Vong 33 giai Ngoai Hang Anh).,West Ham United 3-3 Arsenal (Vòng 33 giải Ngoại Hạng Anh).
Than gui chi em phu nu Viet Nam!.,Thân gửi chị em phụ nữ Việt Nam!.
Ky Duyen moc mac sau khi chim nghim giua 2 A hau.,Kỳ Duyên mộc mạc sau khi chìm nghỉm giữa 2 Á hậu.
So sanh iPod Touch 4 va Galaxy Player 5.0.,So sánh iPod Touch 4 và Galaxy Player 5.0.
Tin vao nhung nguoi tre.,Tin vào những người trẻ.
'Zoolander 2' tiep tuc vach tran bong toi lang giai tri.,'Zoolander 2' tiếp tục vạch trần bóng tối làng giải trí.
No sung ban chet hai canh sat o California.,Nổ súng bắn chết hai cảnh sát ở California.
5 meo de toa sang cung toc.,5 mẹo để tỏa sáng cùng tóc.
"Hinh anh chu S khong lo cung cum bien dao thieng lieng cua To quoc duoc xep boi 1.700 chiec o to, trong do co khoang 1.000 xe thuong hieu Viet, tao nen khoanh khac dang nho chua tung co voi rat nhieu nguoi.","Hình ảnh chữ S khổng lồ cùng cụm biển đảo thiêng liêng của Tổ quốc được xếp bởi 1.700 chiếc ô tô, trong đó có khoảng 1.000 xe thương hiệu Việt, tạo nên khoảnh khắc đáng nhớ chưa từng có với rất nhiều người."
BMW i3 2017 ra mat voi noi luc hon xa the he truoc.,BMW i3 2017 ra mắt với nội lực hơn xa thế hệ trước.
Giam gia cuoc van tai phu hop voi giam gia xang dau.,Giảm giá cước vận tải phù hợp với giảm giá xăng dầu.
Do la nhung chien si ma nay mot so thanh ra thuong binh.,Đó là những chiến sĩ mà nay một số thành ra thương binh.
Vi pham giao thong tai Ha Noi va Tp.HCM se bi phat nang nhat.,Vi phạm giao thông tại Hà Nội và Tp.HCM sẽ bị phạt nặng nhất.
"Lo dien may tinh bang do net cao, gia re.","Lộ diện máy tính bảng độ nét cao, giá rẻ."
"Sau nghi an ban do, V. Ninh Binh ""cam cua"" bao chi.","Sau nghi án bán độ, V. Ninh Bình ""cấm cửa"" báo chí."
Day la cach Goldman Sachs thuyet phuc nhung tai nang cong nghe ngo lo Google.,Đây là cách Goldman Sachs thuyết phục những tài năng công nghệ ngó lơ Google.
Xbox 360 se co ban dac biet Halo: Reach.,Xbox 360 sẽ có bản đặc biệt Halo: Reach.
Cam on SEA Games.,Cảm ơn SEA Games.
Chuc Xuan 2018 - Diem hen dac sac dip Tet Nguyen dan Mau Tuat tren VTV.,Chúc Xuân 2018 - Điểm hẹn đặc sắc dịp Tết Nguyên đán Mậu Tuất trên VTV.
Su that sau nhung man ao thuat dang cap nhat the gioi.,Sự thật sau những màn ảo thuật đẳng cấp nhất thế giới.
Gioi tre chuyen tay clip 'Song tron mot ngay'.,Giới trẻ chuyền tay clip 'Sống trọn một ngày'.
Frank Lampard hon bo giua pho dong.,Frank Lampard hôn bồ giữa phố đông.
Nguoi phu nu co trai tim nguoc.,Người phụ nữ có trái tim ngược.
Hoa tam giac mach Ha Giang se 'do bo' Ha Noi tuan nay.,Hoa tam giác mạch Hà Giang sẽ 'đổ bộ' Hà Nội tuần này.
Nguoi Hoi giao nem 12 nguoi ti nan Thien Chua giao xuong bien.,Người Hồi giáo ném 12 người tị nạn Thiên Chúa giáo xuống biển.
Hoa hau Ngoc Diem khoe da trang non.,Hoa hậu Ngọc Diễm khoe da trắng nõn.
Jang Geun Suk duoc bo nhiem lam Dai Su Thien Chi cua Han Quoc.,Jang Geun Suk được bổ nhiệm làm Đại Sứ Thiện Chí của Hàn Quốc.
Sac thai son moi nao hop voi ban?.,Sắc thái son môi nào hợp với bạn?.
